Est.,Cave ID,Nombre del Cenote,Municipio,Latitud (DD),Longitud (DD),Zona,Uso,Morfología,Parámetros que NO cumplen la Norma (Secas / Lluvias),Resultados Críticos Observados,Temp (°C) Secas,O2​ dis (mg/L) Secas,Conduc (μS/cm) Secas,Resist (Ω∗cm) Secas,TDS (mg/L) Secas,Salin (ups) Secas,pH Secas,Eh (mV) Secas,Nitratos (μM) Secas,Nitritos (μM) Secas,Amonio (μM) Secas,Fosfatos (μM) Secas,Silicatos (μM) Secas,Temp (°C) Lluvias,O2​ dis (mg/L) Lluvias,Conduc (μS/cm) Lluvias,Resist (Ω∗cm) Lluvias,TDS (mg/L) Lluvias,Salin (ups) Lluvias,pH Lluvias,Eh (mV) Lluvias,Nitratos (μM) Lluvias,Nitritos (μM) Lluvias,Amonio (μM) Lluvias,Fosfatos (μM) Lluvias,Silicatos (μM) Lluvias
1,,Yaal Utzil,Abalá,20.6239,-89.6066,Sur,Recreativo,Abierto,"TDS, Dureza, Bacterias / TDS, Dureza, Bacterias",Niveles muy altos de Naproxeno en secas.,26.10,3.24,1568.00,637.53,1001.00,0.77,6.89,-6.40,5.41,,18.25,,10.45,24.80,2.85,2290.00,436.84,1495.00,1.18,6.43,20.60,7.81,,11.77,105.07,43.99
2,,Chihuo-hol,Abalá,20.6350,-89.6119,Sur,Recreativo,Semi-abierto,"TDS, Dureza, Bacterias / Bacterias",Presencia constante de plaguicidas (Clorpirifos).,25.90,2.45,1513.00,659.48,975.00,0.75,6.77,0.50,4.89,,14.33,,12.11,24.70,3.26,2195.00,455.00,1436.00,1.13,6.77,4.40,8.43,,11.36,101.25,63.99
3,,Ch´e´en Cháak,Tecoh,20.6463,-89.4638,Sur,Recreativo,Cerrado,"TDS, Dureza, Bacterias / Bacterias",Carga bacteriana muy elevada en ambas épocas.,25.80,2.21,1279.00,781.30,819.00,0.62,7.03,-14.40,,,,,,24.40,1.70,2104.00,474.89,1384.50,1.09,6.74,5.70,8.59,1.85,6.78,76.61,19.35
4,,Tza Itzá,Tecoh,20.7304,-89.4660,Sur,Recreativo,Cerrado,"Dureza, Bacterias / Bacterias",Alta concentración de PAHs totales en lluvias.,26.00,2.45,1054.00,948.61,676.00,0.51,6.83,3.50,,,,,,24.60,2.67,1494.00,669.99,981.50,0.75,6.86,1.50,8.55,0.79,10.66,52.42,33.81
5,,San Felipe Cuzamá,Cuzamá,20.7423,-89.3561,Sur,Recreativo,Cerrado,"Dureza, Bacterias / Cumple casi todo",Único cenote que cumplió con bacterias en lluvias.,26.00,2.50,966.00,1033.00,617.50,0.46,6.85,-4.50,,,,,,24.80,2.90,1370.00,729.25,897.00,1.68,6.76,5.00,8.51,0.25,13.75,20.28,26.17
6,,Diana Balché,Cuzamá,20.7419,-89.3269,Sur,Recreativo,Semi-abierto,"Dureza, Aluminio / TDS, Aluminio, Bacterias",Cumplió criterio de enterococos en secas.,24.80,1.78,905.00,1104.00,1591.00,0.45,7.29,-29.60,,,,,,24.60,2.78,1433.00,699.78,936.00,0.72,6.73,6.40,8.64,3.19,20.30,5.49,25.04
7,,Xooch’,Homún,20.7305,-89.3020,Sur,Recreativo,Abierto,"Dureza, Bacterias / Dureza, Bacterias",Presencia importante de cafeína y bacterias humanas.,25.80,3.40,910.00,1099.96,585.00,0.44,7.10,-18.70,,,,,,24.50,3.24,1337.00,877.50,871.00,0.67,6.79,3.70,8.35,0.35,,,41.45
8,,La Noria,Homún,20.7284,-89.2600,Sur,Recreativo,Cerrado,"Dureza, Aluminio, Bacterias / Amonio, Plomo, Bacterias",Superó límite de Plomo en lluvias.,25.70,2.70,954.00,1048.66,611.00,0.46,6.81,-2.30,4.22,0.15,32.44,,9.87,24.60,3.02,1374.00,721.52,903.00,0.69,6.66,9.90,8.36,1.92,,,27.29
9,,Mariposa Azul,Sotuta,20.5341,-89.0380,Sur,Recreativo,Semi-abierto,"Aluminio, Bacterias / Dureza, Bacterias",Presencia de 4 compuestos volátiles (VOCs) en lluvias.,25.20,3.92,635.00,1577.28,416.00,0.31,6.93,-8.90,,,,,,23.80,3.23,896.00,1190.03,598.00,0.45,6.92,-3.20,7.93,,,96.57,17.85
10,,Dzonot Miss,Sotuta,20.5921,-89.0079,Sur,Recreativo,Semi-abierto,"Dureza, Aluminio, Bacterias / Amonio, Aluminio, Bacterias",Superó límite de Amonio en lluvias (33.47 µM).,25.90,4.12,910.00,1097.99,578.50,0.44,7.22,-25.20,3.98,,30.88,,11.23,24.40,2.83,1243.00,804.05,819.00,0.63,6.87,-1.10,8.90,,,93.84,16.73
